Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address,Phone_No,Latitude,Longitude,Known_For2,Known_For22,Average_Rating,Total_Reviews,Known_For,Category_Encoded,Locality_Encoded
Pizzaa79,"Pizza, Italian, Fast Food, Desserts, Beverages",-0.7319731106880367," Sector 81, Faridabad",4.2,0.7764088738847024,4.1,0.3850710879831253,https://www.zomato.com/ncr/pizzaa79-sector-81-faridabad,"SCO 58, 1st Floor, Omaxe World Street, Sector 79, Near Sector 81, Faridabad",91959511,28.38738103,77.35336673,"Queen Margherita Pizza, Onion Cheese Pizza, Maharaja Supreme Burger, Sweet Corn Pizza, Choco Brownie, Capsicum Pizza","Good Space, Not very Crowded, Cute Little Place, Great Restaurant, Fastest Delivery, Great Menu",4.15,7029,"Queen Margherita Pizza, Onion Cheese Pizza, Maharaja Supreme Burger, Sweet Corn Pizza, Choco Brownie, Capsicum Pizza, Good Space, Not very Crowded, Cute Little Place, Great Restaurant, Fastest Delivery, Great Menu",1168,342
Amritsari Kitchen,"North Indian, Rolls",-0.807066466624335," Sector 63, Noida",4.2,-0.14845178427289038,3.9,1.2567618224900967,https://www.zomato.com/ncr/amritsari-kitchen-sector-63-noida,"A-127, A Block, Sector 63, Noida",91981111,28.61868746,77.37938147,Unknown,Unknown,4.05,11697,"Unknown, Unknown",1105,336
Goli Vada Pav No. 1,"Street Food, Beverages",-0.9572531784969315," Sector 18, Noida",4.2,-0.21017890964766184,4.1,2.544201307893044,https://www.zomato.com/ncr/goli-vada-pav-no-1-sector-18-noida,"G-15, Krishna Apra Plaza, Plot 3, Block P, Sector 18, Noida",91120411,28.56973452,77.32550796,"Makkai Palak Vada Pav, Paneer Vada Pav, Crunchy Roll, Cheese Vada Pao, Misal Pav, Peri Peri Fries","Cozy Ambiance, Street Food, Good Crowd, Great Recommendations, Authentic Taste, Delivery Time",4.15,19838,"Makkai Palak Vada Pav, Paneer Vada Pav, Crunchy Roll, Cheese Vada Pao, Misal Pav, Peri Peri Fries, Cozy Ambiance, Street Food, Good Crowd, Great Recommendations, Authentic Taste, Delivery Time",1234,289
Spring - Radisson Blu Dwarka,"Continental, North Indian, Beverages",3.0226946861268753," Radisson Blu, Sector 13, Dwarka, New Delhi",4.2,-0.05638420744272279,3.964299424184261,-0.48426457429445047,https://www.zomato.com/ncr/spring-radisson-blu-dwarka-sector-13-dwarka-new-delhi,"Plot 4, Sector 13, Dwarka, New Delhi",91981811,28.5963687,77.03625385,"Dinner Buffet, Deserts, Fish, Breads, Drinks, Dal Makhani","Warm Welcome, Excellent Experience, Live Music, Host, Great Hospitality, Breakfast",4.08214971209213,696,"Dinner Buffet, Deserts, Fish, Breads, Drinks, Dal Makhani, Warm Welcome, Excellent Experience, Live Music, Host, Great Hospitality, Breakfast",459,245
Kebabs and Curries Company by Dilli Dil Se,"North Indian, Mughlai, Chinese, Kebab",-0.4315996869428438," Vasant Kunj, New Delhi",4.2,-0.4047762879477888,4.0,0.16934647177048504,https://www.zomato.com/ncr/kebabs-and-curries-company-by-dilli-dil-se-vasant-kunj-new-delhi,"Shop 36, Ground Floor, DDA Market, Community Shopping Centre, Pocket 3-4, Sector D, Vasant Kunj, New Delhi",91741411,28.518487,77.157996,"Matka Chicken, Butter Paneer Masala, Soya Malai Chaap, Laccha Parantha, Afghani Chicken, Kebabs","Delivery Time, Good Quantity, Tasty, Awesome Food, Packing, Amazing Food",4.1,4526,"Matka Chicken, Butter Paneer Masala, Soya Malai Chaap, Laccha Parantha, Afghani Chicken, Kebabs, Delivery Time, Good Quantity, Tasty, Awesome Food, Packing, Amazing Food",1066,400
Masala Fusion Delight,"North Indian, Mughlai, Rolls, Biryani",-0.8821598225606332," Sohna Road, Gurgaon",4.2,-0.33991049518107985,3.9,0.1790807703186537,https://www.zomato.com/ncr/masala-fusion-delight-sohna-road,"Scottish Mall, Sector 47, Sohna Road, Gurgaon",91875111,28.41107844,77.04122465,"Chicken Seekh Masala, Tawa Chicken, Chicken 65, Chole, Soya Chaap, Rumali Roti","Worth on Price, Freshly Prepared, Highly Recommended, Delivery on Time, Many Choices, Tasty Stuff",4.05,4650,"Chicken Seekh Masala, Tawa Chicken, Chicken 65, Chole, Soya Chaap, Rumali Roti, Worth on Price, Freshly Prepared, Highly Recommended, Delivery on Time, Many Choices, Tasty Stuff",1094,358
Scorpio Cafe,"Chinese, Fast Food, Pizza, Burger, Sandwich",-0.8821598225606332," Mayur Vihar Phase 2, New Delhi",4.2,0.3349029940854895,4.1,0.8455662112376187,https://www.zomato.com/ncr/scorpio-cafe-mayur-vihar-phase-2-new-delhi,"G-4, Durga Complex, Pocket B, Mayur Vihar Phase 2, New Delhi",91999911,28.61968989,77.30108444,"Spicy Chicken Sandwich, Chilli Potato, Pastas, White Sauce Pasta, Chicken Burger, Burgers","Not very Crowded, Cozy Ambiance, Clean Place, Inexpensive, Great Staff, Great Value",4.15,9540,"Spicy Chicken Sandwich, Chilli Potato, Pastas, White Sauce Pasta, Chicken Burger, Burgers, Not very Crowded, Cozy Ambiance, Clean Place, Inexpensive, Great Staff, Great Value",328,189
Chinese Garage,"Chinese, Momos, Asian",-0.5817863988154403," East of Kailash, New Delhi",4.2,-0.03964464801905595,4.0,0.7557594568899983,https://www.zomato.com/ncr/chinese-garage-east-of-kailash-new-delhi,"23, Community Center, D Block, East of Kailash, New Delhi",91837711,28.55862252,77.24571157,"Classic Chilli Paneer, Vegetable Dimsums, Schezwan Noodles, Chicken Drumsticks, Dim Sums, Chilli Chicken Dry","Not very Crowded, Pocket Friendly, Chinese, Quick Delivery, Great Recommendations, Authentic Taste",4.1,8610,"Classic Chilli Paneer, Vegetable Dimsums, Schezwan Noodles, Chicken Drumsticks, Dim Sums, Chilli Chicken Dry, Not very Crowded, Pocket Friendly, Chinese, Quick Delivery, Great Recommendations, Authentic Taste",338,87
Cafe Pasticcino,"Cafe, Fast Food, Healthy Food, Sandwich, Modern Indian, Italian, Rolls, Beverages",0.46952058429273513," DLF Phase 1, Gurgaon",4.2,-0.5502012104408944,4.0,-0.4100012966608414,https://www.zomato.com/ncr/cafe-pasticcino-dlf-phase-1,"N 2, Qutub Plaza, DLF Phase 1, Gurgaon",91124511,28.47254693,77.10169908,"Lasagna, Alfredo Pasta, Chips, Pizzas, Salad, Shakes","Intimate Seating, Efficient Staff, Cozy, Cafe, Courteous Staff, Good Ambience",4.1,697,"Lasagna, Alfredo Pasta, Chips, Pizzas, Salad, Shakes, Intimate Seating, Efficient Staff, Cozy, Cafe, Courteous Staff, Good Ambience",237,72
Mon Delice,"Fast Food, Beverages, Desserts",-0.7319731106880367," Baani Square, Sector 50, Gurgaon",4.2,-0.5366003184091652,4.2,-0.3869215888127642,https://www.zomato.com/ncr/mon-delice-sector-50,"G-87, Baani Square, Sector 50, Gurgaon",9211,28.42538515,77.05710568,"Choco Fudge Brownie, Hazelnut Pastry, Tiramisu Pastry, Croissant, Cookies, Chocolate Cake","Bank for the Buck, Totally Worth it, Table Service, Decoration, Fancy Crowd, Student Crowd",4.2,857,"Choco Fudge Brownie, Hazelnut Pastry, Tiramisu Pastry, Croissant, Cookies, Chocolate Cake, Bank for the Buck, Totally Worth it, Table Service, Decoration, Fancy Crowd, Student Crowd",522,27
FewBucks,"Chinese, North Indian, Fast Food",-0.506693042879142," Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon",4.2,-0.49579764231397727,4.2,-0.2548805391513155,https://www.zomato.com/ncr/fewbucks-sushant-lok,"D 8, Sushant Shopping Arcade, Sushant Lok, Gurgaon",91859611,28.46043253,77.07886476,"Manchurian Balls, Matar Paneer, Masala Chaap, Chilli Chicken Dry, Jeera Rice, Egg Curry","Bang for the Buck, Amazing Packaging, Great Recommendations, Low Price, Cutlery, Great Ambiance",4.2,1737,"Manchurian Balls, Matar Paneer, Masala Chaap, Chilli Chicken Dry, Jeera Rice, Egg Curry, Bang for the Buck, Amazing Packaging, Great Recommendations, Low Price, Cutlery, Great Ambiance",352,375
Sandwich Factory,"Sandwich, Fast Food, Beverages, Mexican, Desserts",-0.7319731106880367," Mayur Vihar Phase 2, New Delhi",4.2,-0.10451044078576495,3.9,0.6672087410647225,https://www.zomato.com/SandwichFactory,"25A, Pocket B, Mayur Vihar Phase 2, New Delhi",91888311,28.61924018,77.30109148,"Signature Bruschetta, Jumbo Focaccia Burger, Chocolate Croissant, Panini Sandwich, Classic Burger, Burrito","Preparation, Polite Staff, Quick Service, Tasty, Amazing Place, Owner",4.05,7984,"Signature Bruschetta, Jumbo Focaccia Burger, Chocolate Croissant, Panini Sandwich, Classic Burger, Burrito, Preparation, Polite Staff, Quick Service, Tasty, Amazing Place, Owner",1203,189
Tandoori Knights,"North Indian, Chinese",-0.807066466624335," Sector 11, Faridabad",4.2,0.32234832451773937,3.6,0.7278125997678369,https://www.zomato.com/ncr/tandoori-knights-sector-11-faridabad,"Booth 15, DLF Market, Sector 11, Faridabad",91999111,28.37194581,77.31868107,"Chicken Leg Fry, Mushroom Matar, Chicken Tangri, Hakka Noddles, Veg Rolls, Boondi Raita","Good Space, Great Restaurant, Casual Seating Area, Great Menu, Best Quality, Hygienic Food",3.9000000000000004,8778,"Chicken Leg Fry, Mushroom Matar, Chicken Tangri, Hakka Noddles, Veg Rolls, Boondi Raita, Good Space, Great Restaurant, Casual Seating Area, Great Menu, Best Quality, Hygienic Food",801,272
